RunTime,ExecutableName
2025-02-18 17:07:11,ACCESSDATA_FTK_IMAGER_4.7.1.E
2025-02-18 17:07:07,ACCESSDATA_FTK_IMAGER_4.7.1.E
2025-02-18 17:13:33,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSWOW64\CMD.EXE
2025-02-18 17:13:33,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\CONHOST.EXE
2025-02-18 17:16:59,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\CONSENT.EXE
2025-02-18 17:19:35,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\CSRSS.EXE
2025-02-18 17:16:59,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-02-18 17:06:14,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\DLLHOST.EXE
2025-02-18 17:07:59,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\DRVINST.EXE
2025-02-18 17:33:25,\DEVICE\HARDDISKVOLUME2\WINDOWS\EXPLORER.EXE
2025-02-18 17:13:30,\DEVICE\HARDDISKVOLUME2\PROGRAM FILES\ACCESSDATA\FTK IMAGER\FTK IMAGER.EXE
2025-02-18 17:19:36,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\LOGONUI.EXE
2025-02-18 17:07:18,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\MSIEXEC.EXE
2025-02-18 17:07:18,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSWOW64\MSIEXEC.EXE
2025-02-18 17:19:36,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\RDPCLIP.EXE
2025-02-18 17:33:20,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE
2025-02-18 17:33:20,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SEARCHPROTOCOLHOST.EXE
2025-02-18 17:33:00,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SLUI.EXE
2025-02-18 17:19:35,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SMSS.EXE
2025-02-18 17:06:23,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SPOOLSV.EXE
2025-02-18 17:07:55,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SVCHOST.EXE
2025-02-18 17:16:59,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\SYSTEMPROPERTIESREMOTE.EXE
2025-02-18 17:12:20,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\TASKENG.EXE
2025-02-18 17:20:33,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\TSTHEME.EXE
2025-02-18 17:07:55,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\VSSVC.EXE
2025-02-18 17:19:36,\DEVICE\HARDDISKVOLUME2\WINDOWS\SYSTEM32\WINLOGON.EXE
