RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2010-11-21 03:58:31.093172100+00:00,1002,Info,Microsoft-Windows-Resource-Exhaustion-Detector,Microsoft-Windows-Resource-Exhaustion-Detector/Operational,1048,1576,37L4247F27-25,0,S-1-5-19,,,,,,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\Microsoft-Windows-Resource-Exhaustion-Detector_4Operational.evtx,0x4000000010000000,0,"{""EventData"":""""}"
4,4,2010-11-21 03:58:31.093172100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Diagnostic Policy Service | Diagnostic Policy Service,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Diagnostic Policy Service""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""44-00-50-00-53-00-2F-00-31-00-00-00""}}"
5,5,2010-11-21 03:58:31.093172100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Windows Event Log | Windows Event Log,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Windows Event Log""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""65-00-76-00-65-00-6E-00-74-00-6C-00-6F-00-67-00-2F-00-31-00-00-00""}}"
6,6,2010-11-21 03:58:31.108772100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Power | Power,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Power""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""50-00-6F-00-77-00-65-00-72-00-2F-00-31-00-00-00""}}"
7,7,2010-11-21 03:58:31.108772100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Desktop Window Manager Session Manager | Desktop Window Manager Session Manager,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Desktop Window Manager Session Manager""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""55-00-78-00-53-00-6D-00-73-00-2F-00-31-00-00-00""}}"
8,8,2010-11-21 03:58:31.108772100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Distributed Link Tracking Client | Distributed Link Tracking Client,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Distributed Link Tracking Client""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""54-00-72-00-6B-00-57-00-6B-00-73-00-2F-00-31-00-00-00""}}"
9,9,2010-11-21 03:58:31.108772100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Windows Search | Windows Search,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Windows Search""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""57-00-53-00-65-00-61-00-72-00-63-00-68-00-2F-00-31-00-00-00""}}"
12,12,2010-11-21 03:58:31.124372100+00:00,7036,Info,Service Control Manager,System,524,220,37L4247F27-25,0,,Service started or stopped,,,Name: User Profile Service | User Profile Service,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""User Profile Service""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""50-00-72-00-6F-00-66-00-53-00-76-00-63-00-2F-00-31-00-00-00""}}"
1,1,2010-11-21 03:58:31.124372100+00:00,1532,Info,Microsoft-Windows-User Profiles Service,Application,928,996,37L4247F27-25,0,S-1-5-18,,,,,,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\Application.evtx,Classic,0,"{""EventData"":""""}"
10,10,2010-11-21 03:58:31.124372100+00:00,7036,Info,Service Control Manager,System,524,848,37L4247F27-25,0,,Service started or stopped,,,Name: Security Center | Security Center,Status: stopped,,,,,,False,C:\Users\BRIANNA\OneDrive\Documents\GitHub\NSSECU3_MP2\win7_files\Logs\System.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""Security Center""},{""@Name"":""param2"",""#text"":""stopped""}],""Binary"":""77-00-73-00-63-00-73-00-76-00-63-00-2F-00-31-00-00-00""}}"
